date.time,date,site,plot,common.name,scientific.name,family,assessment.method,season,SamplingDay,sampling.trip
2020-06-08T13:48:31Z,2020-06-08,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,8,NA
2020-06-09T17:19:16Z,2020-06-09,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,9,NA
2020-06-19T15:10:34Z,2020-06-19,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,19,NA
2020-06-20T09:45:22Z,2020-06-20,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,20,NA
2020-06-22T15:05:37Z,2020-06-22,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,22,NA
2020-06-23T17:17:58Z,2020-06-23,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,23,NA
2020-06-24T14:16:43Z,2020-06-24,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,24,NA
2020-06-25T15:00:04Z,2020-06-25,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,25,NA
2020-06-29T14:36:13Z,2020-06-29,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,29,NA
2020-07-01T13:02:46Z,2020-07-01,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,31,NA
2020-07-07T02:47:10Z,2020-07-07,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,37,NA
2020-07-16T21:52:46Z,2020-07-16,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,46,NA
2020-07-19T23:45:52Z,2020-07-19,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,49,NA
2020-07-27T22:24:13Z,2020-07-27,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,57,NA
2020-07-29T00:23:46Z,2020-07-29,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,59,NA
2020-08-10T22:28:58Z,2020-08-10,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,71,NA
2020-08-11T22:57:40Z,2020-08-11,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,72,NA
2020-08-12T02:05:37Z,2020-08-12,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,73,NA
2020-08-14T10:26:28Z,2020-08-14,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,75,NA
2020-08-16T11:26:43Z,2020-08-16,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,77,NA
2020-08-18T11:40:43Z,2020-08-18,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,79,NA
2020-08-20T03:00:58Z,2020-08-20,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,81,NA
2020-08-23T22:47:22Z,2020-08-23,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,84,NA
2020-08-24T19:51:28Z,2020-08-24,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,85,NA
2020-08-25T04:57:16Z,2020-08-25,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,86,NA
2020-08-29T01:46:13Z,2020-08-29,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,90,NA
2020-09-01T03:02:37Z,2020-09-01,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,1,NA
2020-09-05T22:59:19Z,2020-09-05,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,5,NA
2020-09-06T03:39:58Z,2020-09-06,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,6,NA
2020-09-15T03:58:31Z,2020-09-15,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,15,NA
2020-09-17T05:17:40Z,2020-09-17,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,17,NA
2020-09-25T19:20:55Z,2020-09-25,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,25,NA
2020-09-26T01:18:19Z,2020-09-26,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,26,NA
2020-09-27T01:15:49Z,2020-09-27,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,27,NA
2020-09-28T01:22:13Z,2020-09-28,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,28,NA
2020-09-29T04:37:49Z,2020-09-29,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,29,NA
2020-09-30T04:46:34Z,2020-09-30,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,30,NA
2020-10-05T05:45:49Z,2020-10-05,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,35,NA
2020-10-06T05:46:55Z,2020-10-06,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,36,NA
2020-10-07T19:34:52Z,2020-10-07,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,37,NA
2020-10-08T05:57:28Z,2020-10-08,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,38,NA
2020-11-03T18:02:16Z,2020-11-03,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,64,NA
2020-11-06T17:34:10Z,2020-11-06,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,67,NA
2020-11-09T20:17:55Z,2020-11-09,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,70,NA
2020-11-12T16:58:16Z,2020-11-12,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,spring,73,NA
2020-12-06T00:37:46Z,2020-12-06,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,6,NA
2020-12-22T14:26:04Z,2020-12-22,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,22,NA
2021-01-05T03:38:55Z,2021-01-05,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,36,NA
2021-01-06T16:04:28Z,2021-01-06,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,37,NA
2021-01-25T05:23:37Z,2021-01-25,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,56,NA
2021-01-26T19:30:22Z,2021-01-26,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,57,NA
2021-01-28T18:15:31Z,2021-01-28,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,59,NA
2021-01-29T19:21:16Z,2021-01-29,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,60,NA
2021-01-30T07:13:37Z,2021-01-30,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,61,NA
2021-02-02T20:17:49Z,2021-02-02,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,64,NA
2021-02-03T23:49:52Z,2021-02-03,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,65,NA
2021-02-04T04:06:55Z,2021-02-04,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,66,NA
2021-02-05T19:32:19Z,2021-02-05,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,67,NA
2021-02-06T17:40:22Z,2021-02-06,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,68,NA
2021-02-07T08:56:58Z,2021-02-07,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,69,NA
2021-02-19T01:30:43Z,2021-02-19,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,81,NA
2021-02-21T14:00:52Z,2021-02-21,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,83,NA
2021-02-22T18:48:10Z,2021-02-22,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,summer,84,NA
2021-03-04T10:15:37Z,2021-03-04,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,78,NA
2021-03-11T19:06:13Z,2021-03-11,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,85,NA
2021-03-12T08:09:31Z,2021-03-12,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,86,NA
2021-03-14T05:59:16Z,2021-03-14,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,88,NA
2021-03-15T19:04:16Z,2021-03-15,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,89,NA
2021-03-20T10:02:04Z,2021-03-20,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,94,NA
2021-03-22T18:24:46Z,2021-03-22,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,96,NA
2021-03-23T19:54:04Z,2021-03-23,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,97,NA
2021-03-24T16:38:43Z,2021-03-24,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,98,NA
2021-03-27T00:15:40Z,2021-03-27,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,101,NA
2021-03-30T15:35:16Z,2021-03-30,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,104,NA
2021-04-04T18:02:49Z,2021-04-04,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,109,NA
2021-04-06T12:19:46Z,2021-04-06,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,111,NA
2021-04-09T15:37:04Z,2021-04-09,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,114,NA
2021-04-12T14:20:19Z,2021-04-12,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,117,NA
2021-04-13T14:08:10Z,2021-04-13,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,118,NA
2021-04-16T12:53:40Z,2021-04-16,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,121,NA
2021-04-17T12:31:46Z,2021-04-17,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,122,NA
2021-04-20T16:13:22Z,2021-04-20,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,125,NA
2021-04-22T23:33:07Z,2021-04-22,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,127,NA
2021-04-23T11:17:40Z,2021-04-23,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,128,NA
2021-04-27T21:03:55Z,2021-04-27,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,132,NA
2021-04-28T10:37:43Z,2021-04-28,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,133,NA
2021-04-30T12:46:34Z,2021-04-30,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,135,Tarcutta.fall.2021
2021-05-01T18:17:22Z,2021-05-01,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,136,Tarcutta.fall.2021
2021-05-02T08:35:25Z,2021-05-02,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,137,Tarcutta.fall.2021
2021-05-03T18:47:31Z,2021-05-03,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,138,Tarcutta.fall.2021
2021-05-04T22:03:34Z,2021-05-04,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,139,Tarcutta.fall.2021
2021-05-06T08:52:46Z,2021-05-06,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,141,Tarcutta.fall.2021
2021-05-07T09:52:43Z,2021-05-07,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,142,NA
2021-05-08T13:31:25Z,2021-05-08,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,143,NA
2021-05-09T16:38:19Z,2021-05-09,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,144,NA
2021-05-10T14:44:34Z,2021-05-10,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,145,NA
2021-05-11T03:00:25Z,2021-05-11,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,146,NA
2021-05-12T18:38:52Z,2021-05-12,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,147,NA
2021-05-13T09:37:37Z,2021-05-13,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,148,NA
2021-05-14T14:49:07Z,2021-05-14,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,149,NA
2021-05-15T04:54:37Z,2021-05-15,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,150,NA
2021-05-16T23:59:52Z,2021-05-16,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,151,NA
2021-05-17T04:23:43Z,2021-05-17,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,152,NA
2021-05-18T14:38:37Z,2021-05-18,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,153,NA
2021-05-19T17:21:49Z,2021-05-19,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,154,NA
2021-05-20T15:30:22Z,2021-05-20,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,155,NA
2021-05-21T12:24:34Z,2021-05-21,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,156,NA
2021-05-22T13:02:25Z,2021-05-22,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,157,NA
2021-05-23T21:35:04Z,2021-05-23,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,158,NA
2021-05-24T15:23:16Z,2021-05-24,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,159,NA
2021-05-25T00:43:16Z,2021-05-25,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,160,NA
2021-05-26T15:44:49Z,2021-05-26,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,161,NA
2021-05-27T12:56:01Z,2021-05-27,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,162,NA
2021-05-29T12:37:22Z,2021-05-29,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,164,NA
2021-05-30T14:01:40Z,2021-05-30,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,165,NA
2021-06-01T12:44:49Z,2021-06-01,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,93,NA
2021-06-02T11:42:34Z,2021-06-02,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,94,NA
2021-06-04T02:08:34Z,2021-06-04,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,96,NA
2021-06-05T12:48:19Z,2021-06-05,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,97,NA
2021-06-06T12:50:10Z,2021-06-06,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,98,NA
2021-06-08T13:15:52Z,2021-06-08,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,100,NA
2021-06-09T01:23:37Z,2021-06-09,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,101,NA
2021-06-10T11:54:01Z,2021-06-10,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,102,NA
2021-06-11T06:21:07Z,2021-06-11,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,103,NA
2021-06-14T20:54:19Z,2021-06-14,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,106,NA
2021-06-16T15:24:40Z,2021-06-16,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,108,NA
2021-06-18T02:34:28Z,2021-06-18,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,110,NA
2021-06-21T14:45:58Z,2021-06-21,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,113,NA
2021-06-23T13:54:43Z,2021-06-23,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,115,NA
2021-06-25T04:41:25Z,2021-06-25,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,117,NA
2021-06-26T05:34:04Z,2021-06-26,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,118,NA
2021-06-27T17:48:52Z,2021-06-27,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,119,NA
2021-06-28T03:24:13Z,2021-06-28,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,120,NA
