trip,date,item,category,method,cost,cost_per_item,number_of_items,notes
Trip2,21/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,22/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,23/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,24/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,25/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,26/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
,27/10/2021,,,,0,,,
,28/10/2021,,,,0,,,
,29/10/2021,,,,0,,,
,30/10/2021,,,,0,,,
,31/10/2021,,,,0,,,
,1/11/2021,,,,0,,,
,2/11/2021,,,,0,,,
,3/11/2021,,,,0,,,
,4/11/2021,,,,0,,,
,5/11/2021,,,,0,,,
,6/11/2021,,,,0,,,
,7/11/2021,,,,0,,,
Trip2,8/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,9/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,10/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,11/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,12/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,13/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,14/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,15/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,16/11/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
,17/11/2021,,,,0,,,
,18/11/2021,,,,0,,,
,19/11/2021,,,,0,,,
,20/11/2021,,,,0,,,
,21/11/2021,,,,0,,,
,22/11/2021,,,,0,,,
,23/11/2021,,,,0,,,
,24/11/2021,,,,0,,,
,25/11/2021,,,,0,,,
,26/11/2021,,,,0,,,
,27/11/2021,,,,0,,,
,28/11/2021,,,,0,,,
,29/11/2021,,,,0,,,
,30/11/2021,,,,0,,,
,1/12/2021,,,,0,,,
,2/12/2021,,,,0,,,
,3/12/2021,,,,0,,,
,4/12/2021,,,,0,,,
,5/12/2021,,,,0,,,
,6/12/2021,,,,0,,,
,7/12/2021,,,,0,,,
,8/12/2021,,,,0,,,
,9/12/2021,,,,0,,,
,10/12/2021,,,,0,,,
,11/12/2021,,,,0,,,
,12/12/2021,,,,0,,,
,13/12/2021,,,,0,,,
,14/12/2021,,,,0,,,
,15/12/2021,,,,0,,,
,16/12/2021,,,,0,,,
,17/12/2021,,,,0,,,
,18/12/2021,,,,0,,,
,19/12/2021,,,,0,,,
,20/12/2021,,,,0,,,
,21/12/2021,,,,0,,,
,22/12/2021,,,,0,,,
,23/12/2021,,,,0,,,
,24/12/2021,,,,0,,,
,25/12/2021,,,,0,,,
,26/12/2021,,,,0,,,
,27/12/2021,,,,0,,,
,28/12/2021,,,,0,,,
,29/12/2021,,,,0,,,
,30/12/2021,,,,0,,,
,31/12/2021,,,,0,,,
,1/1/2022,,,,0,,,
,2/1/2022,,,,0,,,
,3/1/2022,,,,0,,,
,4/1/2022,,,,0,,,
,5/1/2022,,,,0,,,
,6/1/2022,,,,0,,,
,7/1/2022,,,,0,,,
,8/1/2022,,,,0,,,
,9/1/2022,,,,0,,,
,10/1/2022,,,,0,,,
,11/1/2022,,,,0,,,
,12/1/2022,,,,0,,,
,13/1/2022,,,,0,,,
,14/1/2022,,,,0,,,
,15/1/2022,,,,0,,,
,16/1/2022,,,,0,,,
,17/1/2022,,,,0,,,
,18/1/2022,,,,0,,,
,19/1/2022,,,,0,,,
,20/1/2022,,,,0,,,
,21/1/2022,,,,0,,,
,22/1/2022,,,,0,,,
,23/1/2022,,,,0,,,
,24/1/2022,,,,0,,,
,25/1/2022,,,,0,,,
,26/1/2022,,,,0,,,
,27/1/2022,,,,0,,,
,28/1/2022,,,,0,,,
,29/1/2022,,,,0,,,
,30/1/2022,,,,0,,,
,31/1/2022,,,,0,,,
,1/2/2022,,,,0,,,
,2/2/2022,,,,0,,,
,3/2/2022,,,,0,,,
,4/2/2022,,,,0,,,
,5/2/2022,,,,0,,,
,6/2/2022,,,,0,,,
,7/2/2022,,,,0,,,
,8/2/2022,,,,0,,,
,9/2/2022,,,,0,,,
,10/2/2022,,,,0,,,
,11/2/2022,,,,0,,,
,12/2/2022,,,,0,,,
,13/2/2022,,,,0,,,
,14/2/2022,,,,0,,,
,15/2/2022,,,,0,,,
,16/2/2022,,,,0,,,
,17/2/2022,,,,0,,,
,18/2/2022,,,,0,,,
,19/2/2022,,,,0,,,
,20/2/2022,,,,0,,,
,21/2/2022,,,,0,,,
,22/2/2022,,,,0,,,
,23/2/2022,,,,0,,,
,24/2/2022,,,,0,,,
,25/2/2022,,,,0,,,
,26/2/2022,,,,0,,,
,27/2/2022,,,,0,,,
,28/2/2022,,,,0,,,
,1/3/2022,,,,0,,,
,2/3/2022,,,,0,,,
,3/3/2022,,,,0,,,
,4/3/2022,,,,0,,,
,5/3/2022,,,,0,,,
,6/3/2022,,,,0,,,
